name,affiliations,author_id,cited_by,interests
David La Barbera,Università Degli Studi Di Udine,,,
Michael Soprano,Postdoctoral Research Fellow at the University of Udine,,,
Kevin Roitero,University of Udine,,,
Stefano Mizzaro,Full professor of Computer Science and Information Technology,,,
Damiano Spina,"School of Computing Technologies, RMIT University",,,
Gianluca Demartini,Associate Professor at the University of Queensland,,,
Eddy Maddalena,"Università degli Studi di Udine, Italy",,,
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5352.0,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
